cbo,cargo,carga_horaria,piso_22,media_22,mediana_22,teto_22,hora_22,piso_23,media_23,mediana_23,teto_23,hora_23
223305,Medico Veterinário ,39,3901,4011,3033,9120,20,"3.911,16 ","4.020,98 ","3.088,00 ","9.119,06 ","20,76"
223605,Fisioterapeuta ,31,2790,2868,2811,5231,18,"2.799,42 ","2.878,02 ","2.824,00 ","5.242,63 ","18,52"
223310,Zootecnista ,43,3849,3957,3050,8898,27,"3.789,57 ","3.895,97 ","3.030,00 ","8.746,41 ","18,19"
223405,Farmacêutico ,40,3678,3781,3748,6513,18,"3.725,04 ","3.829,63 ","3.850,00 ","6.592,00 ","18,93"
214105,Arquiteto de Edificações ,42,6007,6176,5000,14473,29,"6.066,48 ","6.236,82 ","5.000,00 ","14.540,66 ","30,07"
214510,Engenheiro têxtil ,42,8590,8831,8525,19045,42,"8.722,56 ","8.967,47 ","8.822,00 ","19.103,13 ","42,91"
214905,Engenheiro de Produção,43,8979,9231,9350,18118,43,"9.136,08 ","9.392,61 ","9.500,00 ","18.435,70 ","44,20"
212215,Engenheiro de Software ,41,12769,13128,11209,30076,63,"13.058,37 ","13.425,02 ","11.500,00 ","30.856,68 ","65,26"
214305,Engenheiro Eletricista ,42,8653,8896,9458,17329,42,"8.880,78 ","9.130,13 ","9.880,50 ","17.748,69 ","43,91"
261305,Especialista em Documentação Arquivística ,43,2003,2059,1679,4138,9,"2.018,08 ","2.074,74 ","1.703,00 ","4.148,31 ","9,68"
251110,Arqueólogo ,43,3365,3460,3500,7241,16,"3.789,30 ","3.895,69 ","3.786,00 ","7.847,47 ","18,07"
252310,Secretário Bilíngue de Gabinete ,43,2990,3074,1800,7872,14,"2.992,71 ","3.076,73 ","1.800,00 ","7.846,51 ","14,48"
213150,Físico (Medicina) ,34,4802,4937,3795,11945,29,"5.411,78 ","5.563,73 ","3.985,00 ","13.990,08 ","33,39"
261125,Jornalista ,37,3581,3682,2835,8303,19,"3.638,45 ","3.740,61 ","2.886,00 ","8.469,65 ","20,00"
142325,Especialista de Comunicação em Relações Públicas ,42,4351,4473,3200,11106,21,"4.463,29 ","4.588,61 ","3.261,50 ","11.439,18 ","21,87"
342105,Agente de Comércio Exterior ,43,2690,2766,2238,5899,12,"2.763,39 ","2.840,98 ","2.300,00 ","6.076,65 ","13,22"
261310,Museólogo ,41,3201,3291,2412,7582,15,"3.343,56 ","3.437,44 ","2.460,00 ","8.101,41 ","16,60"
122520,Gestor em Turismo (turismólogo) ,42,2301,2365,2000,4707,11,"2.455,78 ","2.524,73 ","2.173,00 ","5.183,15 ","12,00"
203005,Ecologista ,42,4153,4269,3297,10268,20,"4.187,50 ","4.305,08 ","3.320,00 ","10.112,82 ","20,32"
213405,Geólogo ,42,9195,9453,9000,20267,45,"9.420,12 ","9.684,61 ","9.264,00 ","20.713,81 ","46,06"
213440,Oceanógrafo ,40,5053,5195,4609,11084,25,"4.785,74 ","4.920,12 ","4.435,00 ","10.331,48 ","24,49"
